Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
1,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
3,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
4,998,998,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
5,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
6,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
7,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
9,998,998,"Bond, Tiffany L.","Hoar, William R.S.","Hoar, William R.S.","Hoar, William R.S.","Hoar, William R.S."
10,998,998,"REP Poliquin, Bruce","REP Poliquin, Bruce",undervote,undervote,undervote
11,998,998,undervote,undervote,undervote,undervote,undervote
12,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
13,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
14,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
15,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
16,998,998,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
17,998,998,"REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,undervote,undervote
18,998,998,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
19,998,998,"Bond, Tiffany L.","Hoar, William R.S.","Bond, Tiffany L.","Bond, Tiffany L.","REP Poliquin, Bruce"
20,998,998,"DEM Golden, Jared F.","REP Poliquin, Bruce",undervote,undervote,undervote
21,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
22,998,998,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.","DEM Golden, Jared F."
23,998,998,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
24,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
25,998,998,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
26,998,998,undervote,undervote,undervote,undervote,undervote
27,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
28,998,998,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
29,998,998,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
30,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
31,998,998,"Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce","Hoar, William R.S.","REP Poliquin, Bruce"
32,998,998,"DEM Golden, Jared F.","DEM Golden, Jared F.",undervote,undervote,undervote
33,998,998,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
34,998,998,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
35,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
36,998,998,"Hoar, William R.S.","Hoar, William R.S.","Hoar, William R.S.","Hoar, William R.S.","Bond, Tiffany L."
37,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
38,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
39,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
