Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
500,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
501,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
502,997,997,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
503,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
504,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
505,997,997,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
506,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
507,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
508,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
509,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
510,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
511,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
512,997,997,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote
513,997,997,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
514,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
515,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
516,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
517,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
518,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
519,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
520,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
521,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
522,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
523,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
524,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
525,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
526,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
527,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
528,997,997,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
529,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
530,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
531,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S.",undervote
532,997,997,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
533,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
534,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
535,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
536,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
537,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
538,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
539,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,"Hoar, William R.S.","REP Poliquin, Bruce"
540,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
541,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S.",undervote
542,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
543,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
544,997,997,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,undervote
545,997,997,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,undervote
546,997,997,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
547,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,"REP Poliquin, Bruce"
548,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
549,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
