Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
418,178111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
428,370111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
430,127111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,"Bond, Tiffany L.",undervote
2037,488111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
4569,137111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
7126,514111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
7128,108111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
7132,39111,UOCAVA,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
7136,235112,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
7138,517311,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
7140,228111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
7142,8111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
7146,244111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
7148,279111,UOCAVA,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
7152,510111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
7154,254111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
7156,321111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
7158,392111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
7160,503111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
