Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
2000,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2001,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2002,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2003,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2004,1,999,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote,undervote
2005,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2006,1,999,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2007,1,999,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
2008,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2009,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2010,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2011,1,999,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
2012,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
2013,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2014,1,999,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2015,1,999,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,undervote
2016,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2017,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2018,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2019,1,999,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2020,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2021,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2022,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2023,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2024,1,999,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
2025,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2026,1,999,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
2027,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2028,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
2029,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2030,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
